图书名称,图书别称,图书链接,图书封面,图书出版信息,图书星数,图书评论数
Harry Potter and the Deathly Hallows,,http://book.douban.com/subject/1975797/,http://img3.douban.com/lpic/s2352093.jpg,J.K.Rowling / Arthur A. Levine Books / 2007-7-21 / 34.99美元,8.9,6282
穆斯林的葬礼,,http://book.douban.com/subject/1082334/,http://img3.douban.com/lpic/s1790771.jpg,霍达 / 北京十月文艺出版社 / 1988-12-1 / 32.00,8.3,58549
哈利·波特与混血王子,Harry Potter and the Half-Blood Prince,http://book.douban.com/subject/1432596/,http://img3.douban.com/lpic/s1447381.jpg,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2005-10 / 58.00元,8.8,55985
一个人的好天气,ひとり日和,http://book.douban.com/subject/2250587/,http://img3.douban.com/lpic/s2732804.jpg,[日] 青山七惠 / 竺家荣 / 上海译文出版社 / 2007-9 / 15.00元,7.6,63091
我们仨,,http://book.douban.com/subject/1023045/,http://img3.douban.com/lpic/s1015872.jpg,杨绛 / 生活·读书·新知三联书店 / 2003-7 / 18.80元,8.6,56392
苏菲的世界,Sofies verden,http://book.douban.com/subject/1045818/,http://img3.douban.com/lpic/s2153661.jpg,（挪威）乔斯坦·贾德 / 萧宝森 / 作家出版社 / 1999-04 / 26.80,8.5,55851
喜宝,,http://book.douban.com/subject/2022979/,http://img3.doubanio.com/lpic/s5813979.jpg,亦舒 / 新世界出版社 / 2007-2 / 22.00元,8.1,39354
三国演义（全二册）,,http://book.douban.com/subject/1019568/,http://img3.douban.com/lpic/s1076932.jpg,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元,9.2,50428
文化苦旅,,http://book.douban.com/subject/1050339/,http://img3.douban.com/lpic/s2166670.jpg,余秋雨 / 东方出版中心 / 2001-4 / 22.00元,7.8,57761
月亮和六便士,The Moon and Sixpence,http://book.douban.com/subject/1858513/,http://img3.doubanio.com/lpic/s2659208.jpg,[英] 毛姆 / 傅惟慈 / 上海译文出版社 / 2006-8 / 15.00元,9.0,51529
哈利·波特与凤凰社,Harry Potter and the Order of the Phoenix,http://book.douban.com/subject/1013129/,http://img3.doubanio.com/lpic/s1100627.jpg,[英] J. K. 罗琳 / 马爱农 / 人民文学出版社 / 2003-9 / 59.00元,8.6,52613
海边的卡夫卡,,http://book.douban.com/subject/1059419/,http://img3.douban.com/lpic/s1094940.jpg,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元,8.1,55285
兄弟（上）,,http://book.douban.com/subject/1401425/,http://img3.douban.com/lpic/s1427312.jpg,余华 / 上海文艺出版社 / 2005-8 / 16.00元,8.3,54126
基督山伯爵,Le Comte de Monte-Cristo,http://book.douban.com/subject/1085860/,http://img3.doubanio.com/lpic/s3248016.jpg,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元,8.9,45465
窗边的小豆豆,,http://book.douban.com/subject/1007914/,http://img3.douban.com/lpic/s1067911.jpg,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元,8.7,51288
撒哈拉的故事,,http://book.douban.com/subject/1361264/,http://img3.douban.com/lpic/s3563113.jpg,三毛 / 皇冠出版社 / 1976 / 160 TWD,9.0,49401
许三观卖血记,,http://book.douban.com/subject/1029791/,http://img3.douban.com/lpic/s1074291.jpg,余华 / 南海出版公司 / 1998-9 / 16.80元,8.7,50868
盗墓笔记, : 七星鲁王宫 ,http://book.douban.com/subject/1948901/,http://img3.douban.com/lpic/s4442295.jpg,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元,8.4,51869
呼啸山庄,Wuthering Heights,http://book.douban.com/subject/1119522/,http://img3.douban.com/lpic/s1095383.jpg,艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元,8.4,51541
笑傲江湖（全四册）,,http://book.douban.com/subject/1002299/,http://img3.douban.com/lpic/s2157335.jpg,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元,8.9,45445
放学后,はうかご,http://book.douban.com/subject/4074636/,http://img3.douban.com/lpic/s4066862.jpg,（日）东野圭吾 / 赵峻 / 南海出版公司 / 2010-1 / 20.00元,7.6,55688
悟空传, : 修订版 ,http://book.douban.com/subject/1003000/,http://img3.douban.com/lpic/s9026255.jpg,今何在 / 光明日报出版社 / 2001-4 / 14.80元,8.4,50051
三生三世 十里桃花,,http://book.douban.com/subject/3426869/,http://img3.doubanio.com/lpic/s3551687.jpg,唐七公子 / 沈阳出版社 / 2009-1 / 26.80,8.3,49848
民主的细节, : 美国当代政治观察随笔 ,http://book.douban.com/subject/3813669/,http://img3.doubanio.com/lpic/s4146437.jpg,刘瑜 / 上海三联书店 / 2009-6 / 25.00,8.6,48423
福尔摩斯探案全集（上中下）,,http://book.douban.com/subject/1040211/,http://img3.douban.com/lpic/s1229240.jpg,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元,9.2,45202
黄金时代, : 时代三部曲 ,http://book.douban.com/subject/1089243/,http://img3.douban.com/lpic/s1076372.jpg,王小波 / 花城出版社 / 1999-3 / 19.00元,8.8,47043
遇见未知的自己,,http://book.douban.com/subject/2340100/,http://img3.douban.com/lpic/s3403254.jpg,张德芬 / 华夏出版社 / 2008-1 / 29.00,8.1,49408
一九八四·动物农场,Nineteen Eighty-Four,http://book.douban.com/subject/1082387/,http://img3.doubanio.com/lpic/s1089916.jpg,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元,9.2,23227
恶意,悪意,http://book.douban.com/subject/3646172/,http://img3.doubanio.com/lpic/s3814606.jpg,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00,8.4,47830
百年孤独,Cien años de soledad,http://book.douban.com/subject/1786670/,http://img3.doubanio.com/lpic/s2785398.jpg,[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元,8.9,45519
小时代1.0折纸时代,,http://book.douban.com/subject/3191328/,http://img3.doubanio.com/lpic/s3251696.jpg,郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元,6.7,56111
素年锦时,,http://book.douban.com/subject/2256438/,http://img3.douban.com/lpic/s2686185.jpg,安妮宝贝 / 作家出版社 / 2007-9 / 27.00元,7.9,49811
少有人走的路, : 心智成熟的旅程 ,http://book.douban.com/subject/1775691/,http://img3.douban.com/lpic/s2144391.jpg,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元,8.4,47347
亲爱的安德烈,,http://book.douban.com/subject/3369793/,http://img3.doubanio.com/lpic/s3993878.jpg,龙应台 / 人民文学出版社 / 2008-12 / 26.00,8.7,45136
第一次的亲密接触,,http://book.douban.com/subject/1024217/,http://img3.douban.com/lpic/s1327750.jpg,蔡智恒 / 知识出版社 / 1999-11-1 / 12.80,7.4,50810
